epoch,train_loss,train_mse,train_psnr,train_ssim,train_consistency,val_loss,val_mse,val_psnr,val_ssim,val_consistency,mean_frame_mse,mean_frame_psnr,mean_frame_ssim,epoch_seconds,lr
1,0.10145124114235024,0.02016001030726521,16.955092501834933,0.4326388194840504,0.03553322745878381,0.09373398217952476,0.016504051606610136,17.824094270349672,0.44495810360278726,0.00017237619638008083,0.012028869403139601,19.197751902039776,0.457004030245655,21.610829167068005,0.0003
2,0.09151836758425252,0.01423876350093413,18.465277233422345,0.4469832787356163,0.02010048221119692,0.08743440646607921,0.012216954502575803,19.130370434853997,0.4554411773411733,7.968203891958286e-05,0.012028869403139601,19.197751902039776,0.457004030245655,13.617111111059785,0.0003
3,0.08895076221598124,0.012842659193679492,18.91345042188554,0.4517588951895314,0.013793919313139188,0.08702262777764842,0.012077024392783641,19.18040056524674,0.4566356580212431,6.839822819083051e-05,0.012028869403139601,19.197751902039776,0.457004030245655,13.488589998334646,0.0003
4,0.08845740958262766,0.01272694022196142,18.95275995752779,0.4539312848793438,0.009881690556343196,0.08706051128090553,0.012089415432287837,19.175946983674727,0.456895726131943,7.836561079492863e-05,0.012028869403139601,19.197751902039776,0.457004030245655,13.592599241062999,0.0003
5,0.08823284156251197,0.012684304504578364,18.967333406696476,0.4550797641980751,0.00787965113584342,0.08687767248671009,0.012048093559888173,19.190816686014262,0.45739834308624266,8.633083673216016e-05,0.012028869403139601,19.197751902039776,0.457004030245655,13.501409204676747,0.0003
6,0.0880091524119456,0.012620182377436468,18.989343689475128,0.4560979529453206,0.006422046969485719,0.0867795409740142,0.012029992388385646,19.19734647446785,0.458314382130245,0.00010870661676305628,0.012028869403139601,19.197751902039776,0.457004030245655,13.489165544509888,0.0003
7,0.08801549645529123,0.012668830698706286,18.972634675580842,0.4562439759775562,0.005511563712398336,0.08685320711360787,0.012032822217300253,19.19632499871105,0.4574300855960486,7.900554905887166e-05,0.012028869403139601,19.197751902039776,0.457004030245655,13.501142017543316,0.0003
8,0.08791336673953043,0.012628876559442183,18.98635281727794,0.45659004073270565,0.0042992160632842925,0.08672769570125724,0.01201964464249476,19.201083719410136,0.4585923757193224,9.914726161130019e-05,0.012028869403139601,19.197751902039776,0.457004030245655,13.489925114437938,0.0003
9,0.08674528144364466,0.012297922437592907,19.101682503572047,0.46437233104938413,0.005730048150636027,0.08626553464048313,0.011908617622728618,19.241386494042903,0.46125679196051833,0.00010837516816056175,0.012028869403139601,19.197751902039776,0.457004030245655,13.520303642377257,0.0003
10,0.08591757431028398,0.01203960674887422,19.19387698259516,0.4694792005511178,0.006114203905295448,0.08514766282630416,0.011714161953554963,19.312887759501084,0.4700292076704637,0.00019293971412446138,0.012028869403139601,19.197751902039776,0.457004030245655,13.459820015355945,0.0003
11,0.08513541304507094,0.011927218405774594,19.234608280712262,0.4751970327857158,0.005361549597289223,0.08496340934960347,0.011853930944541716,19.261376070861886,0.4747060244938113,0.00018138353540430303,0.012028869403139601,19.197751902039776,0.457004030245655,13.458190746605396,0.0003
12,0.08392717937237629,0.011719491216262479,19.31091242137551,0.4836400198148612,0.005148465583946506,0.08380206494398837,0.011520829009559919,19.385162690618145,0.4802436774631716,0.00029630609118063355,0.012028869403139601,19.197751902039776,0.457004030245655,13.593283986672759,0.0003
13,0.08343442192962093,0.011665136783429949,19.331101643763958,0.4874435827827754,0.004847852285492676,0.08611131588805397,0.01199060007929802,19.211590817379754,0.46247889973082634,0.00030173754971913713,0.012028869403139601,19.197751902039776,0.457004030245655,13.561882494017482,0.0003
14,0.082605720685984,0.011448239195391383,19.412613051608115,0.49247696754221465,0.004343902486662969,0.08272139238861372,0.011364936273334162,19.444329951538734,0.48821578070802507,0.0004805267037261488,0.012028869403139601,19.197751902039776,0.457004030245655,13.585252191871405,0.0003
15,0.08178127559384055,0.011216793023196382,19.501312938296948,0.4977679058006671,0.005072310397637397,0.08586762165123561,0.01269159198229043,18.96483898334005,0.477520526805014,0.000413883090862688,0.012028869403139601,19.197751902039776,0.457004030245655,13.50441045127809,0.0003
16,0.08194839362315921,0.011357605568683588,19.44713217737315,0.49716465436596274,0.0039052231908489362,0.0856137085073399,0.011864152905654233,19.257632647397923,0.46573244985544454,0.0002489141018331965,0.012028869403139601,19.197751902039776,0.457004030245655,13.464344829320908,0.0003
17,0.08178348290601366,0.011343866506082913,19.4523889288145,0.49861237676381875,0.003896849330684667,0.08912544742507755,0.012853070221981911,18.909931197101564,0.4427652174571775,0.0002685909600981142,0.012028869403139601,19.197751902039776,0.457004030245655,13.626896943897009,0.0003
18,0.08179336956853851,0.011383589599677233,19.437207697937964,0.4985394813384154,0.0037955528621237216,0.08586211494117413,0.01202099979415817,19.20059410284288,0.46480643659267784,0.0003522804103580848,0.012028869403139601,19.197751902039776,0.457004030245655,13.476281713694334,0.0003
