control,mse,psnr,ssim,n
normal,0.01120757260271963,19.50488439090912,0.5006259459369587,1060.0
shuffle_response,0.011590273583413295,19.359063125813197,0.49064791596160745,1060.0
mean_response,0.012317316880765952,19.094838855794617,0.44968233041043554,1060.0
zero_response,0.012424328958369651,19.05727058332831,0.44745423164007797,1060.0
mean_frame,0.012028869403139601,19.197751902039776,0.457004030245655,1060.0
previous_frame,0.0023080817836705807,26.367488066222133,0.8342417510050648,1060.0
