epoch,train_loss,train_mse,train_psnr,train_ssim,train_consistency,val_loss,val_mse,val_psnr,val_ssim,val_consistency,mean_frame_mse,mean_frame_psnr,mean_frame_ssim,epoch_seconds,lr
1,0.08304812336643111,0.024174828413146002,16.166365997470628,0.41947226892458095,0.02396442294715198,0.07168470405870014,0.014367283080463056,18.42625351192287,0.4365459477459943,8.150362747869622e-05,0.010805297111747441,19.66363286881768,0.4503918877354375,89.59170035272837,0.0003
2,0.06978258523303678,0.013622835979378179,18.657324723069053,0.450944613044623,0.011024772773491691,0.06725499594101199,0.010869065892917138,19.638077783592824,0.4480329306037338,0.00012949682450208978,0.010805297111747441,19.66363286881768,0.4503918877354375,41.518332824110985,0.0003
3,0.06809819804462125,0.012883459149879092,18.899675152364896,0.4601257915993246,0.007756506964545322,0.06718041333887312,0.01092524215992954,19.61568928036663,0.4493076390690274,0.00011047357640576491,0.010805297111747441,19.66363286881768,0.4503918877354375,44.29774544388056,0.0003
4,0.06745376326621218,0.012745825153817657,18.94632043431314,0.46487272923883893,0.00622995418465735,0.0672944324987906,0.011004738019848312,19.58420291855615,0.448894335826238,0.00013419382774297142,0.010805297111747441,19.66363286881768,0.4503918877354375,41.38026437908411,0.0003
5,0.06589927260839219,0.012117847875774046,19.165745038222077,0.4743532529527094,0.005779266105528718,0.06676020727113441,0.010771744256770169,19.67713966176975,0.4519805795616574,0.0001073229625629008,0.010805297111747441,19.66363286881768,0.4503918877354375,41.28312450647354,0.0003
6,0.06466402811819959,0.011742092088242959,19.302545179577642,0.48317977570127885,0.006005367306539783,0.06681161693952702,0.010877804223586012,19.63458761790512,0.4524610506163703,0.00014106270588803857,0.010805297111747441,19.66363286881768,0.4503918877354375,41.582554057240486,0.0003
7,0.06558988314475683,0.012131878209921301,19.160719581556883,0.4771803464061329,0.004463435887726203,0.06701218093986865,0.01099519628893446,19.587970131026303,0.4515967464005506,0.00014399782113388128,0.010805297111747441,19.66363286881768,0.4503918877354375,41.37309703230858,0.0003
8,0.06486365515977464,0.011979063593285762,19.215771295396454,0.48299079218242547,0.004615790318614132,0.06667994900986,0.010932443208164638,19.612827700494012,0.4543541687506217,8.483501299418061e-05,0.010805297111747441,19.66363286881768,0.4503918877354375,41.37396644055843,0.0003
9,0.06331156221591862,0.011409831733942001,19.427207602758543,0.4933872927460657,0.00579571554945451,0.0663717767154729,0.010695077313317192,19.708160716230122,0.4550385731237906,9.981048456716558e-05,0.010805297111747441,19.66363286881768,0.4503918877354375,41.44212834537029,0.0003
10,0.06355615389727498,0.011725849091466843,19.30855699368768,0.49351591352795293,0.004356992442860981,0.06632303082280688,0.010669518641575618,19.718551734549266,0.4553709016905891,8.723464944287789e-05,0.010805297111747441,19.66363286881768,0.4503918877354375,41.31638392806053,0.0003
11,0.061209942783021255,0.01074577692073699,19.687621795032793,0.5079987727002326,0.005667954542009798,0.06658501669212624,0.010764869744027102,19.679912208142525,0.45351448986265397,0.00012731609803503724,0.010805297111747441,19.66363286881768,0.4503918877354375,41.39297925680876,0.0003
