control,mse,psnr,ssim,n
normal,0.009972839940477301,20.011811511317088,0.46686773940368936,1080.0
shuffle_response,0.010289630769855446,19.87600209055969,0.46196730048568163,1080.0
mean_response,0.010855748711360826,19.643402182713533,0.43597728543811376,1080.0
zero_response,0.010853659927293107,19.64423790091516,0.4367673123324359,1080.0
mean_frame,0.010805297111747441,19.66363286881768,0.4503918877354375,1080.0
previous_frame,0.0018085830793198611,27.42661536633379,0.8466868073851974,1080.0
