control,mse,psnr,ssim,n
normal,0.05800050022425475,12.365682608560844,0.3665876348813375,1080.0
shuffle_response,0.058586351656251485,12.32203545940109,0.35656978995711713,1080.0
mean_response,0.015343311070292085,18.140809099836055,0.4421946638160282,1080.0
zero_response,0.012333970917043862,19.088970799556243,0.42180522194615117,1080.0
mean_frame,0.010784175398725051,19.672130571886747,0.45051519053953665,1080.0
previous_frame,0.0018131508215985916,27.41566068897491,0.8456160563009757,1080.0
