epoch,train_loss,train_mse,train_psnr,train_ssim,val_loss,val_mse,val_psnr,val_ssim,mean_frame_mse,mean_frame_psnr,mean_frame_ssim,epoch_seconds,lr
1,0.07811988387748954,0.04434741653449368,13.531316749865647,0.32455068046342567,0.11648253014794102,0.08095756421486537,10.917425670057181,0.2895006867470565,0.010784175398725051,19.672130571886747,0.45051519053953665,2.5340979248285294,0.0003
2,0.0691978563906602,0.03799009368626541,14.20329635442965,0.37584476155384094,0.11252866530859912,0.07767353736692005,11.097269159868127,0.3028974361993648,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0714391469955444,0.0003
3,0.06397622116660373,0.03433654964137788,14.642433477014773,0.40720659214540394,0.10907913236706346,0.0747101009995849,11.266206764735687,0.31261940565374163,0.010784175398725051,19.672130571886747,0.45051519053953665,2.021339923143387,0.0003
4,0.06002183928364645,0.031587239931718296,15.004883207486294,0.43130801427498433,0.1061129993862576,0.07213622756578304,11.41846573276354,0.32046456381126687,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0524758398532867,0.0003
5,0.05683932835569938,0.029420158275011602,15.313549951781942,0.45161660894529376,0.10406269530455271,0.07036228571776991,11.52660060935853,0.3259918084851018,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0678839311003685,0.0003
6,0.054207894938437376,0.02759471057913954,15.591741565739595,0.4677363222115582,0.10216276844342549,0.06872910327381558,11.628593224051295,0.33132667740186056,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0523919984698296,0.0003
7,0.051976049471409755,0.026044158692774492,15.842896670654916,0.48136218944956677,0.10058340551676574,0.06737611183413753,11.714940550601716,0.33585417138205637,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0277183577418327,0.0003
8,0.04948209706141379,0.024233075267075712,16.15591468785594,0.4950195710727004,0.09929517010847727,0.0662371881030224,11.78898112474107,0.3388403751232006,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0783828273415565,0.0003
9,0.04698197235112848,0.022279368328106456,16.52097126582091,0.5059479252848674,0.09782649874687195,0.06501123513336535,11.87011582822089,0.34369475532461097,0.010784175398725051,19.672130571886747,0.45051519053953665,2.042143166065216,0.0003
10,0.046448334648117734,0.022151244359430517,16.54601872002775,0.5140581952162884,0.09707068922343078,0.06435739795366922,11.914015232617514,0.345734198667385,0.010784175398725051,19.672130571886747,0.45051519053953665,2.1192603334784508,0.0003
11,0.04439889246818597,0.020510165886127633,16.880308270456506,0.5222254771853254,0.09614650894094397,0.06352547821071412,11.970520569585435,0.3475794246903172,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0015453845262527,0.0003
12,0.04383477008517363,0.020255074981261913,16.934661447841194,0.5284061116633414,0.09527222227167201,0.06282580312755373,12.018619509385626,0.35107163345372233,0.010784175398725051,19.672130571886747,0.45051519053953665,2.020715080201626,0.0003
13,0.043055727134629004,0.019849162972662544,17.022578024534297,0.5358687229347329,0.0947404267611327,0.062361606017306996,12.05082708821988,0.3524235996935103,0.010784175398725051,19.672130571886747,0.45051519053953665,2.030361331999302,0.0003
14,0.04190980669441349,0.018935023706134486,17.227341468179397,0.5405043439187837,0.09420411399117222,0.06190111399800689,12.083015351667342,0.35394001095383254,0.010784175398725051,19.672130571886747,0.45051519053953665,1.998444490134716,0.0003
15,0.04104422909830554,0.01832678252911493,17.369137735812807,0.5456510779123608,0.09367194175720214,0.06145865966876348,12.1141691535864,0.3557343425574126,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0378400310873985,0.0003
16,0.04077150781616752,0.01823103107831614,17.39188768593506,0.5491904753245455,0.093398728745955,0.06117510955642771,12.134252442122271,0.3555276047300409,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0819725766777992,0.0003
17,0.03969235346890575,0.01738480964089419,17.59830060365356,0.5538491296761952,0.09290172810907717,0.06081779930326674,12.15969298886713,0.3583214411029109,0.010784175398725051,19.672130571886747,0.45051519053953665,2.1376762613654137,0.0003
18,0.03955030926750993,0.017315717018885415,17.615595202336074,0.5553081705562114,0.09279990880577653,0.06067407837620488,12.16996811768479,0.3574834057578334,0.010784175398725051,19.672130571886747,0.45051519053953665,2.1068028286099434,0.0003
19,0.03886302553941653,0.01671307575003408,17.76943618428191,0.557001015511976,0.09244482395825562,0.06037585652536816,12.191366950544701,0.3586206762878983,0.010784175398725051,19.672130571886747,0.45051519053953665,2.1312160789966583,0.0003
20,0.039447263019608166,0.017385791748929735,17.598055267603257,0.5587705849603368,0.09208366705311669,0.06009019530481762,12.211963844429647,0.36013056150189154,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0564433559775352,0.0003
21,0.03865397101199474,0.016765693817487444,17.755784693827096,0.5622344664213952,0.09194748136732313,0.059979510610854186,12.219970820888726,0.36064058895464296,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0413550436496735,0.0003
22,0.038130454559258196,0.016291528483187687,17.88038167952174,0.5632214872680532,0.0917941947778066,0.05986985478688169,12.227917952254938,0.36151325702667236,0.010784175398725051,19.672130571886747,0.45051519053953665,1.9897586777806282,0.0003
23,0.038108706386604456,0.016327589960769304,17.870779147111,0.564377685819282,0.09162497531484674,0.05969993477618253,12.240261433490144,0.3614992011476446,0.010784175398725051,19.672130571886747,0.45051519053953665,1.9911783263087273,0.0003
24,0.03752351256212638,0.015937954300428415,17.975674227799487,0.5682888447910961,0.09145982684912506,0.05956958008033258,12.249754613320295,0.3621950719091627,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0777543261647224,0.0003
25,0.037755754036941425,0.0160938089178973,17.93341159365187,0.5667611052158644,0.09135938860751965,0.05949500263841064,12.255195118800135,0.3627123009275507,0.010784175398725051,19.672130571886747,0.45051519053953665,2.050672270357609,0.0003
26,0.03745474540459184,0.015901216053655562,17.98569661516186,0.5689294194788512,0.0912896474202474,0.05939342716225871,12.262616140273321,0.3620756122801039,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0384207740426064,0.0003
27,0.037628706633311866,0.016040390608537472,17.947850601748666,0.5682336832882688,0.09110252614374514,0.059231837976861886,12.27444790897393,0.36258626094570867,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0560218915343285,0.0003
28,0.036837362705990806,0.015355704745690438,18.13730246942113,0.5703668482572409,0.09109731989878195,0.0592186666197247,12.275413755048948,0.3624269452359941,0.010784175398725051,19.672130571886747,0.45051519053953665,2.016233056783676,0.0003
29,0.03699300500140151,0.015529541704114774,18.088413606469015,0.5707307469305367,0.09092888236045837,0.059061428794154415,12.286960509383073,0.3626509057150947,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0534485206007957,0.0003
30,0.0369144317436025,0.015474973891535543,18.10370075023296,0.571210852287965,0.09065359312075155,0.05886193055797506,12.301654979801055,0.3641667781052766,0.010784175398725051,19.672130571886747,0.45051519053953665,2.091046743094921,0.0003
31,0.03620945126706943,0.014908789169104692,18.265576267367948,0.5739867660564619,0.09064489205678304,0.0588401775945116,12.303260251321348,0.3639057241104267,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0432883203029633,0.0003
32,0.03671582799922288,0.015335031492982022,18.143153277862062,0.5723840796507811,0.0905626188825678,0.05879384364794802,12.306681468779605,0.3646245119748292,0.010784175398725051,19.672130571886747,0.45051519053953665,2.066918231546879,0.0003
33,0.036855785399792305,0.015543793441872462,18.0844298361588,0.5737601656611915,0.09039321939150492,0.05866380463595743,12.316297743111457,0.3654117403207002,0.010784175398725051,19.672130571886747,0.45051519053953665,1.9603670835494995,0.0003
34,0.035570241163966856,0.01434783280001022,18.43213692942268,0.5755518403410007,0.09047534134652879,0.05869813776678509,12.313756767837019,0.3644559529092577,0.010784175398725051,19.672130571886747,0.45051519053953665,2.037388525903225,0.0003
35,0.0365016393377118,0.015235875469366668,18.17132585708381,0.5746847278561045,0.0904883881409963,0.058673087093565196,12.315610607110743,0.36369400399702567,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0179300233721733,0.0003
36,0.03658843920971753,0.015256437097595464,18.16546877227754,0.5733599687258735,0.09027989341153039,0.05852966457605362,12.326239647494182,0.364995410044988,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0149711668491364,0.0003
37,0.03650128443827967,0.015235292149857253,18.17149213390479,0.5746801633532996,0.09034407547226658,0.05858624892102347,12.3220430750625,0.3648434610278518,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0479716286063194,0.0003
38,0.036622929629186916,0.015336568558672914,18.14271799626781,0.5742727888057658,0.09027290123480337,0.058500243309471345,12.328423276316476,0.36454685749831023,0.010784175398725051,19.672130571886747,0.45051519053953665,2.063017651438713,0.0003
39,0.03633081267134482,0.01508577733919153,18.214323066077508,0.5750993014847519,0.09032739720962665,0.05854305878833488,12.325245900643264,0.3643132554160224,0.010784175398725051,19.672130571886747,0.45051519053953665,2.059573359787464,0.0003
40,0.036138368281797686,0.014872958410064524,18.276026364965677,0.5746918024737393,0.09015866098580537,0.0584286980330944,12.333737909675433,0.3654007602621008,0.010784175398725051,19.672130571886747,0.45051519053953665,2.095084488391876,0.0003
41,0.03529786332377644,0.01423640153121097,18.465997714176986,0.5787707725464284,0.09023014174567329,0.05849311473192992,12.328952520360021,0.3652594769442523,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0710174664855003,0.0003
42,0.0356725882207758,0.01455362371612158,18.370288579513677,0.5776207120107351,0.09001294827019726,0.05829303021784182,12.343833683778891,0.36560164403032375,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0119293481111526,0.0003
43,0.035313650168597374,0.014164938208708705,18.487853156493944,0.5770257661986844,0.08987414351216069,0.05822047315261982,12.349242694101436,0.36692661113209196,0.010784175398725051,19.672130571886747,0.45051519053953665,1.9642548561096191,0.0003
44,0.0350967117458808,0.01402804742267844,18.53002774628805,0.5786267221207835,0.0900627299591347,0.05835163215244258,12.339469918056556,0.3657780625202038,0.010784175398725051,19.672130571886747,0.45051519053953665,1.8969254046678543,0.0003
45,0.03519177697978967,0.01412184059711501,18.501086949927803,0.5786012779378529,0.08996090447461164,0.058286233025568505,12.34434011743063,0.3665065864721934,0.010784175398725051,19.672130571886747,0.45051519053953665,2.037243403494358,0.0003
46,0.035425266870225625,0.014309147572115145,18.443862373620515,0.577677623189746,0.09019123834592324,0.05842249926041674,12.334198682493064,0.36462523760618987,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0586903989315033,0.0003
47,0.035131134735939235,0.014087294833259592,18.511723959454514,0.5791232143120713,0.08995848529868655,0.058244050928839934,12.347484270525054,0.36571135189798143,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0648100301623344,0.0003
48,0.03487983488838554,0.013800050057919042,18.601193382481412,0.5784043069288677,0.08989594391098729,0.05820558007668566,12.350353782307666,0.3661927320339062,0.010784175398725051,19.672130571886747,0.45051519053953665,2.057330183684826,0.0003
49,0.03523494030821317,0.014150262380804718,18.492355071729648,0.5783064518335319,0.08987165656354693,0.0581775297721227,12.3524472291556,0.36611747675471834,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0705622285604477,0.0003
50,0.0355172405916376,0.014410505829885185,18.413207745453207,0.5778653151758859,0.08986863527033064,0.05818387391390624,12.351973665639784,0.3663047863377465,0.010784175398725051,19.672130571886747,0.45051519053953665,2.023407056927681,0.0003
51,0.035618364624825254,0.014542790313950235,18.37352257734984,0.5784885207926326,0.08996695235923484,0.058226493525284306,12.348793628796583,0.3651908176916617,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0245754942297935,0.0003
52,0.035908645889598786,0.014758774606068113,18.309496996888043,0.5770025816133376,0.08981793909161179,0.05812579329918932,12.356311068226887,0.36615709640361643,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0175723284482956,0.0003
53,0.03485163872642041,0.013828611112945902,18.592214363963503,0.5795394599578033,0.08974048075852571,0.05806962632470661,12.360509686220933,0.3665829287634956,0.010784175398725051,19.672130571886747,0.45051519053953665,1.9926078468561172,0.0003
54,0.03534904453467861,0.014283535949420062,18.451642678239722,0.5786898355505212,0.08984139992131127,0.058157046580756155,12.353976565893321,0.3663129455513424,0.010784175398725051,19.672130571886747,0.45051519053953665,1.9994657412171364,0.0003
55,0.03496707690450461,0.013987320222412685,18.542654823700026,0.5804048742326242,0.0897792621895119,0.05808020476941709,12.35971861142826,0.3660188538056833,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0252183005213737,0.0003
56,0.035501123087594184,0.014451023207779115,18.4010140150536,0.5789980033352647,0.08979362183147006,0.05810172568868708,12.35810968367943,0.3661620824425309,0.010784175398725051,19.672130571886747,0.45051519053953665,2.046978496015072,0.0003
57,0.035236244740584836,0.014218182168782085,18.471559257253077,0.5796387568213632,0.08975154591931236,0.058034897071343884,12.36310781471838,0.36566703849368626,0.010784175398725051,19.672130571886747,0.45051519053953665,2.023596912622452,0.0003
58,0.0350070564997639,0.014017263960639922,18.533367483348496,0.5802041528862931,0.08967873658295031,0.05802313210787596,12.363988315407138,0.3668879352234028,0.010784175398725051,19.672130571886747,0.45051519053953665,2.000871166586876,0.0003
59,0.03542575112678229,0.01438657644324408,18.420425423179715,0.5792165168473585,0.08967111999237978,0.05800050022425475,12.365682608560844,0.3665876348813375,0.010784175398725051,19.672130571886747,0.45051519053953665,2.028500571846962,0.0003
60,0.03435999206105296,0.013459020932995537,18.70986531409415,0.5819805800961537,0.08971200982729594,0.05802310258150101,12.363990525412786,0.3662218455915098,0.010784175398725051,19.672130571886747,0.45051519053953665,2.0724331736564636,0.0003
