control,mse,psnr,ssim,n
normal,0.00960401520822887,20.175471608969087,0.47529166694040653,1080.0
shuffle_response,0.010014121165430104,19.993871581778382,0.4686320971559595,1080.0
mean_response,0.01049203573277703,19.7914023900034,0.4502764430310991,1080.0
zero_response,0.010716856774632577,19.699325733746697,0.44670130411783854,1080.0
mean_frame,0.010784175398725051,19.672130571886747,0.45051519053953665,1080.0
previous_frame,0.0018131508215985916,27.41566068897491,0.8456160563009757,1080.0
