epoch,train_loss,train_mse,train_psnr,train_ssim,train_consistency,val_loss,val_mse,val_psnr,val_ssim,val_consistency,mean_frame_mse,mean_frame_psnr,mean_frame_ssim,epoch_seconds,lr
1,0.06580711205046806,0.01080498103858241,19.663759909136648,0.47467671122315225,0.06236023030831159,0.06750056721546031,0.010670787351274932,19.71803534680639,0.4457677529917823,0.0033634840491795666,0.010784175398725051,19.672130571886747,0.45051519053953665,32.86526267230511,0.0003
2,0.0635823372867433,0.010476609767009506,19.797792323983185,0.4847685779042185,0.01747782279284422,0.06846691640438857,0.011218951994346247,19.500477103107045,0.4411100385365663,0.0021830155355322253,0.010784175398725051,19.672130571886747,0.45051519053953665,20.371119432151318,0.0003
3,0.06289364276500138,0.010430351847340822,19.8170104125887,0.4896730282934679,0.0106908707413457,0.06770967388594593,0.011010353060232268,19.581987546293163,0.4464788697384022,0.0019097123659506637,0.010784175398725051,19.672130571886747,0.45051519053953665,19.955531887710094,0.0003
4,0.06175367755553749,0.010078953389295679,19.96584563213174,0.4975037477557771,0.00938161976764326,0.06704348557525211,0.010781277509199248,19.67329775111843,0.45090210504002043,0.0008631634611043006,0.010784175398725051,19.672130571886747,0.45051519053953665,19.940036840736866,0.0003
5,0.06112191062337779,0.01004066535135526,19.98237507425273,0.5028943535298102,0.007128021913684618,0.06780094123548931,0.011225177230382407,19.498067933474033,0.4477217071586185,0.0013152798731526775,0.010784175398725051,19.672130571886747,0.45051519053953665,20.251525953412056,0.0003
6,0.06099609241158495,0.010001912526445273,19.99916947973539,0.5037696621912547,0.0066871002893892474,0.066114882517744,0.010459135817708793,19.805041974099407,0.4570009598025569,0.00047675157418578033,0.010784175398725051,19.672130571886747,0.45051519053953665,20.311969816684723,0.0003
7,0.059176909437891764,0.009397982976104837,20.26965346011346,0.5165077722917637,0.007561819056188334,0.06673200533345894,0.010770918387505744,19.677472647965946,0.45390055267899126,0.0014565906131287598,0.010784175398725051,19.672130571886747,0.45051519053953665,20.30202393233776,0.0003
8,0.05860040423767497,0.00927660042936971,20.326111493480987,0.5209568634165416,0.007332229715800719,0.06657853424549103,0.010866699416052412,19.639023457999368,0.45639431829805727,0.0006703800151727692,0.010784175398725051,19.672130571886747,0.45051519053953665,20.055734246969223,0.0003
9,0.05988637751624624,0.009815060028578796,20.081070399253296,0.5126158286693862,0.005653577280337278,0.06851934100742693,0.011399486488490193,19.43114711842308,0.4420666992664337,0.0007470071488636744,0.010784175398725051,19.672130571886747,0.45051519053953665,20.415069729089737,0.0003
10,0.058667722026340755,0.00944892594407101,20.246175547789047,0.5214824943198854,0.006478460062629676,0.06779251457364471,0.010747288036401625,19.687011115078995,0.4431618312994639,0.0004627556095329055,0.010784175398725051,19.672130571886747,0.45051519053953665,20.33413177728653,0.0003
11,0.059187624766241655,0.00968964613088327,20.136920832393237,0.5183557243737569,0.0054778448880213795,0.06593850453694662,0.010770438990935131,19.677665949884332,0.46227828749903926,0.0020585394497848702,0.010784175398725051,19.672130571886747,0.45051519053953665,20.327835515141487,0.0003
12,0.05909861236997777,0.009691931923406538,20.135896450290343,0.5190609692124025,0.004983577564304629,0.06811884194612502,0.01085354852731581,19.64428247633399,0.44107078777419195,0.000574491209348101,0.010784175398725051,19.672130571886747,0.45051519053953665,20.051067888736725,0.0003
13,0.058704265261036295,0.009589349226882374,20.182108648589367,0.5222349580033362,0.0061372174608737735,0.06594829989804162,0.01023943527015271,19.89723995100387,0.4564319720974675,0.00043787503544889556,0.010784175398725051,19.672130571886747,0.45051519053953665,20.012850798666477,0.0003
