control,mse,psnr,ssim,n
normal,0.010654631112965773,19.724615819307004,0.5058387427959802,1060.0
shuffle_response,0.011310871732684802,19.465039225630193,0.49397153539477656,1060.0
mean_response,0.012760603870704488,18.941287729887414,0.4428990283102359,1060.0
zero_response,0.012872263110892953,18.90345091777182,0.4418532490730286,1060.0
mean_frame,0.012028869403139601,19.197751902039776,0.457004030245655,1060.0
previous_frame,0.0023080817836705807,26.367488066222133,0.8342417510050648,1060.0
