control,mse,psnr,ssim,n
normal,0.009950494110860207,20.021553529937698,0.4638486579612449,1080.0
shuffle_response,0.010294517046875423,19.873940228970298,0.4577357671878956,1080.0
mean_response,0.010891856611878784,19.628980846548526,0.4352296935187446,1080.0
zero_response,0.010928467454181776,19.61440736756449,0.43544661115717004,1080.0
mean_frame,0.010784175398725051,19.672130571886747,0.45051519053953665,1080.0
previous_frame,0.0018131508215985916,27.41566068897491,0.8456160563009757,1080.0
