control,mse,psnr,ssim,n
normal,0.010475953134163371,19.798064531276538,0.50734968905179,1060.0
shuffle_response,0.01126680461303243,19.481992370770346,0.4935544810205136,1060.0
mean_response,0.01257659771462094,19.00436830560946,0.4468454230506465,1060.0
zero_response,0.012723571659540231,18.953909598907753,0.44419625772620147,1060.0
mean_frame,0.012028869403139601,19.197751902039776,0.457004030245655,1060.0
previous_frame,0.0023080817836705807,26.367488066222133,0.8342417510050648,1060.0
