epoch,train_loss,train_mse,train_psnr,train_ssim,train_consistency,val_loss,val_mse,val_psnr,val_ssim,val_consistency,mean_frame_mse,mean_frame_psnr,mean_frame_ssim,epoch_seconds,lr
1,0.10013602454769245,0.02014606706006709,16.958097247498635,0.43267119592048353,0.0352767853287615,0.09247148028522167,0.01649433063026869,17.82665304215589,0.44498519515091517,0.00017054227017687703,0.012028869403139601,19.197751902039776,0.457004030245655,21.57028728723526,0.0003
2,0.09022988519103015,0.014231850424624633,18.46738629293265,0.44698300591892,0.019975382803897518,0.0861418272245605,0.012197929712117844,19.13713873497363,0.45559211946883293,7.86619955555202e-05,0.012028869403139601,19.197751902039776,0.457004030245655,13.518197139725089,0.0003
3,0.08767009109117964,0.012841199308540012,18.913944132798107,0.4517429011905409,0.01374368761599439,0.08576587393598736,0.012080428559543952,19.17917658616899,0.4566785403017728,6.717816242324364e-05,0.012028869403139601,19.197751902039776,0.457004030245655,13.633718820288777,0.0003
4,0.08718410018834423,0.012727659167817125,18.952514631162035,0.4538722428442642,0.009818905914666895,0.08580468946470404,0.012098956712574329,19.172520770807804,0.45698672015711944,8.041207982833444e-05,0.012028869403139601,19.197751902039776,0.457004030245655,13.505489762872458,0.0003
5,0.08696477941693892,0.012689767003112145,18.965463519156703,0.4550421704324937,0.007864525123630495,0.08563850766645288,0.012057138810742576,19.18755739138688,0.4573613076839807,8.732583074509782e-05,0.012028869403139601,19.197751902039776,0.457004030245655,13.495030114427209,0.0003
6,0.08673200913998763,0.012622674383416502,18.98848620772513,0.45610883435707783,0.006376479856411975,0.08553948700428009,0.01204093318643435,19.193398534424908,0.4582982823533832,0.00011668280629168775,0.012028869403139601,19.197751902039776,0.457004030245655,13.497380370274186,0.0003
7,0.08674911547373075,0.012671843432710689,18.971602016581375,0.45617020207535647,0.005476560675920838,0.08557733432301935,0.012028581350338909,19.197855902869392,0.45764434157677414,8.13731076118958e-05,0.012028869403139601,19.197751902039776,0.457004030245655,13.433952001854777,0.0003
8,0.08666353233680305,0.012641056788093128,18.98216617663403,0.4564648463114522,0.004284267386686816,0.08550788557754373,0.012028766019304969,19.197789228259175,0.45826608145012043,0.00010917781083954427,0.012028869403139601,19.197751902039776,0.457004030245655,13.565294543281198,0.0003
9,0.08551270589760024,0.012306331638554529,19.09871385456871,0.4640963185405656,0.005589890772627739,0.08491683981890949,0.011965441752998334,19.22071263005578,0.4643174153453899,0.00015270207198073138,0.012028869403139601,19.197751902039776,0.457004030245655,13.44964543543756,0.0003
10,0.08427795496374298,0.011996073833718767,19.209608698983423,0.47235077664103686,0.006159485267207061,0.08441853838146858,0.011849227593333091,19.26309958758216,0.4658283728473591,0.0002644245438102,0.012028869403139601,19.197751902039776,0.457004030245655,13.491097932681441,0.0003
11,0.08325987344975551,0.011818802709611357,19.274265169358088,0.4795161645352418,0.005771463368685929,0.08211916654177431,0.011388389179307335,19.43537699978046,0.48257593298858065,0.0004471537465985232,0.012028869403139601,19.197751902039776,0.457004030245655,13.425458433106542,0.0003
12,0.08259797463798786,0.011718857174638123,19.31114738740147,0.48427828281156476,0.00504554312802224,0.08638702639431324,0.012456210446104688,19.04614063027449,0.4528293605120677,0.00021410986895339107,0.012028869403139601,19.197751902039776,0.457004030245655,13.414103316143155,0.0003
